description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
"QSC 10, TAGUATINGA SUL, TAGUATINGA",,kitnet,900.0,40.0,1.0,,,aluguel,-15.8399411,-48.0606662
"SQSW 504 Bloco H, SUDOESTE, BRASILIA",,apartamento,4000.0,77.0,2.0,,1.0,aluguel,,
"EPTG QE 2, QUADRAS ECONOMICAS LUCIO COSTA, GUARA",,apartamento,3450.0,82.0,1.0,,2.0,aluguel,-15.8091532,-47.9870883
"Quadra 101, NORTE, AGUAS CLARAS",,apartamento,3000.0,80.0,2.0,,1.0,aluguel,-15.8325794,-48.010596
"QI 31 Lote 07, GUARA II, GUARA",,apartamento,2200.0,58.0,2.0,,,aluguel,,
"SQN 312 Bloco F, ASA NORTE, BRASILIA",,apartamento,5500.0,80.0,2.0,,,aluguel,,
"SGAN 912 Módulo D, ASA NORTE, BRASILIA",,kitnet,2490.0,25.0,1.0,,1.0,aluguel,-15.7759483,-47.8995769
"QS 502 Conjunto 7, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,2890.0,60.0,2.0,,1.0,aluguel,,
"QR 4 Conjunto A, CANDANGOLANDIA, CANDANGOLANDIA",,apartamento,1500.0,60.0,2.0,,,aluguel,-15.8503771,-47.9480483
"EQNO 9/11 Bloco A, CEILANDIA NORTE, CEILANDIA",,apartamento,800.0,30.0,1.0,,,aluguel,,
"Avenida das Araucárias, SUL, AGUAS CLARAS",,apartamento,6300.0,128.0,4.0,,2.0,aluguel,-15.8400497,-48.0206766
"EQNO 9/11 Bloco A, CEILANDIA NORTE, CEILANDIA",,kitnet,800.0,30.0,1.0,,,aluguel,,
"SHTN, ASA NORTE, BRASILIA",,apartamento,3700.0,30.0,1.0,,1.0,aluguel,-15.7888828,-47.8318449
"SGCV Lote 24, PARK SUL, BRASILIA",,apartamento,15000.0,204.0,4.0,,4.0,aluguel,-15.8247211,-47.9537743
"Quadra 101, NORTE, AGUAS CLARAS",,apartamento,1800.0,30.0,1.0,,,aluguel,-15.8325794,-48.010596
"QRSW 7 Bloco A 11, SUDOESTE, BRASILIA",,apartamento,3450.0,70.0,2.0,,,aluguel,,
"CCSW 2 Lote 3, SUDOESTE, BRASILIA",,apartamento,7500.0,50.0,2.0,,2.0,aluguel,-15.7978594,-47.9284452
"CSB 3, TAGUATINGA SUL, TAGUATINGA",,apartamento,1600.0,77.0,3.0,,,aluguel,-15.8374746,-48.0557361
"SGCV Lote 27, PARK SUL, BRASILIA",,apartamento,22990.0,315.0,4.0,,3.0,aluguel,-15.8247211,-47.9537743
"CSG 3, TAGUATINGA SUL, TAGUATINGA",,apartamento,2430.0,47.0,1.0,,1.0,aluguel,-15.8662108,-48.0340308
"SQN 202 Bloco A, ASA NORTE, BRASILIA",,apartamento,8900.0,160.0,3.0,,1.0,aluguel,-15.7827782,-47.8774184
"Área Especial 02 Módulo F, GUARA II, GUARA",,apartamento,2350.0,38.0,1.0,,1.0,aluguel,,
"Quadra 101, NORTE, AGUAS CLARAS",,apartamento,3100.0,53.0,2.0,,1.0,aluguel,-15.8325794,-48.010596
"QS 410 Conjunto G, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,1400.0,40.0,2.0,,,aluguel,-15.8818507,-48.0908091
"SQS 216 Bloco J, ASA SUL, BRASILIA",,apartamento,7400.0,163.0,3.0,,1.0,aluguel,,
"SETOR DE MANSOES SUDESTE, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,3700.0,120.0,3.0,,,aluguel,-15.8688914,-48.0728585
"Área Especial 02 Módulo A, GUARA II, GUARA",,apartamento,3400.0,56.0,2.0,,1.0,aluguel,,
"SQS 104, ASA SUL, BRASILIA",,apartamento,10000.0,153.0,4.0,,2.0,aluguel,-15.8085911,-47.8942577
"Avenida Jacarandá, SUL, AGUAS CLARAS",,apartamento,1600.0,30.0,1.0,,1.0,aluguel,-15.8411919,-48.0307388
"SGCV Lote 13, PARK SUL, BRASILIA",,apartamento,3100.0,28.0,1.0,,1.0,aluguel,-15.8247211,-47.9537743
"QMSW 5 Lote 2 Bloco A, SUDOESTE, BRASILIA",,kitnet,1650.0,30.0,1.0,,1.0,aluguel,-15.7940053,-47.9197148
"QS 111, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,450.0,40.0,1.0,,,aluguel,-15.8732132,-48.0590056
"SQNW 110 Bloco G, NOROESTE, BRASILIA",,apartamento,10500.0,155.0,4.0,,2.0,aluguel,,
"Avenida Flamboyant, NORTE, AGUAS CLARAS",,apartamento,2000.0,40.0,1.0,,1.0,aluguel,-15.8369691,-48.0311046
"QI 33, GUARA II, GUARA",,apartamento,3600.0,90.0,3.0,,1.0,aluguel,-15.8402392,-47.9684168
"SQNW 108 Bloco J, NOROESTE, BRASILIA",,apartamento,9500.0,153.0,3.0,,2.0,aluguel,-15.750479,-47.9097874
"Rua 13, NORTE, AGUAS CLARAS",,apartamento,2300.0,33.0,1.0,,1.0,aluguel,-3.0556248,-59.9801944
"QI 31 Lote 08, GUARA II, GUARA",,apartamento,2650.0,43.0,1.0,,1.0,aluguel,,
"QN 122 Conjunto 15, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,950.0,33.0,1.0,,1.0,aluguel,-15.8679881,-48.0589046
"SQN 403, ASA NORTE, BRASILIA",,apartamento,4100.0,80.0,2.0,,,aluguel,-15.7552101,-47.8811552
"QN 312 Conjunto 7, SAMAMBAIA SUL, SAMAMBAIA",,kitnet,1200.0,28.0,1.0,,,aluguel,,
"QS 111 Conjunto I, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,450.0,30.0,1.0,,,aluguel,,
"Rua 12, NORTE, AGUAS CLARAS",,apartamento,2300.0,70.0,3.0,,1.0,aluguel,-3.0617746,-59.9752761
"Quadra 210, SUL, AGUAS CLARAS",,apartamento,5900.0,160.0,4.0,,2.0,aluguel,-29.9198671,-51.0635217
"QNO 19, CEILANDIA NORTE, CEILANDIA",,apartamento,1800.0,60.0,3.0,,1.0,aluguel,-15.7964356,-48.1176621
"SGAN 910, ASA NORTE, BRASILIA",,kitnet,1500.0,30.0,1.0,,2.0,aluguel,-15.7594861,-47.8959302
"Quadra 103, NORTE, AGUAS CLARAS",,apartamento,2750.0,73.0,2.0,,2.0,aluguel,-15.8334832,-48.0170868
"Rua 18, GUARA II, GUARA",,apartamento,1450.0,70.0,2.0,,,aluguel,-15.8495918,-47.9765008
"QI 33, GUARA II, GUARA",,apartamento,9500.0,233.0,3.0,,3.0,aluguel,-15.8402392,-47.9684168
"QN 112, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,2000.0,53.0,2.0,,1.0,aluguel,-15.8680685,-48.0841972
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",,apartamento,1550.0,50.0,2.0,,1.0,aluguel,-15.7965494,-48.0945498
"Rua COPAIBA, SUL, AGUAS CLARAS",,apartamento,1980.0,45.0,2.0,,1.0,aluguel,-15.8342015,-48.0399113
"SQS 409 Bloco S, ASA SUL, BRASILIA",,apartamento,3200.0,65.0,2.0,,,aluguel,,
"SGCV Lote 27, PARK SUL, BRASILIA",,apartamento,20000.0,622.0,4.0,,5.0,aluguel,-15.8247211,-47.9537743
"QMSW 6 Lote 4, SUDOESTE, BRASILIA",,kitnet,1800.0,23.0,1.0,,1.0,aluguel,-15.7946423,-47.921738
"SQNW 109, NOROESTE, BRASILIA",,apartamento,6400.0,77.0,2.0,,2.0,aluguel,-15.7470195,-47.9102839
"SQS 415 Bloco T, ASA SUL, BRASILIA",,apartamento,4500.0,52.0,2.0,,,aluguel,,
"QS 402, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,1350.0,50.0,1.0,,,aluguel,-15.8691111,-48.0904886
"QI 25 Bloco A AO O Lote 05/17, GUARA II, GUARA",,apartamento,2800.0,97.0,3.0,,1.0,aluguel,,
"CNB 2, TAGUATINGA NORTE, TAGUATINGA",,apartamento,2000.0,60.0,2.0,,1.0,aluguel,-15.8196594,-48.0625276
"Quadra 205, SUL, AGUAS CLARAS",,apartamento,7100.0,243.0,4.0,,3.0,aluguel,-29.9198671,-51.0635217
"SQS 116, ASA SUL, BRASILIA",,apartamento,14000.0,275.0,4.0,,2.0,aluguel,-15.8164055,-47.9080336
"SQNW 107 Bloco G, NOROESTE, BRASILIA",,apartamento,23000.0,217.0,3.0,,4.0,aluguel,,
"Quadra 204, SUL, AGUAS CLARAS",,apartamento,2500.0,70.0,1.0,,1.0,aluguel,-29.9198671,-51.0635217
"QN 407 Conjunto E, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,1000.0,30.0,1.0,,,aluguel,,
"SQN 205 Bloco B, ASA NORTE, BRASILIA",,apartamento,7200.0,92.0,3.0,,1.0,aluguel,,
"QMSW 5, SUDOESTE, BRASILIA",,kitnet,1500.0,27.0,1.0,,1.0,aluguel,-15.7940053,-47.9197148
"SQS 212 Bloco D, ASA SUL, BRASILIA",,apartamento,1900.0,35.0,1.0,,1.0,aluguel,,
"SQN 211 Bloco E, ASA NORTE, BRASILIA",,apartamento,5400.0,74.0,2.0,,2.0,aluguel,-15.7535322,-47.8851746
"Rua 35, SUL, AGUAS CLARAS",,apartamento,2900.0,57.0,2.0,,1.0,aluguel,-15.8379105,-48.0389736
"QNM 18 Conjunto A, CEILANDIA NORTE, CEILANDIA",,apartamento,1200.0,60.0,2.0,,,aluguel,-15.8145908,-48.1025213
"QR 120, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,1500.0,55.0,2.0,,1.0,aluguel,-15.8697766,-48.0832788
"Quadra 202, SUL, AGUAS CLARAS",,apartamento,2200.0,70.0,2.0,,1.0,aluguel,-29.9198671,-51.0635217
"SEPS 713/913, ASA SUL, BRASILIA",,kitnet,3000.0,25.0,1.0,,2.0,aluguel,-15.8199601,-47.9212181
"Quadra 203, SUL, AGUAS CLARAS",,apartamento,3000.0,124.0,3.0,,1.0,aluguel,-29.9198671,-51.0635217
"EQNO 9/11 Bloco A, CEILANDIA NORTE, CEILANDIA",,apartamento,800.0,30.0,1.0,,,aluguel,,
"CSG 11, TAGUATINGA SUL, TAGUATINGA",,apartamento,1400.0,44.0,2.0,,1.0,aluguel,-15.8710464,-48.0323452
"SHCES Quadra 913 Bloco E, NOVO, CRUZEIRO",,apartamento,3000.0,66.0,3.0,,,aluguel,,
"Rua 37, SUL, AGUAS CLARAS",,apartamento,2400.0,42.0,1.0,,1.0,aluguel,-15.8348133,-48.0390942
"Avenida Dom Bosco Bloco 790, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,apartamento,1900.0,67.0,2.0,,,aluguel,-15.8695795,-47.9679168
"SQS 204 Bloco C, ASA SUL, BRASILIA",,apartamento,5900.0,91.0,3.0,,1.0,aluguel,,
"CRS 510 Bloco B, ASA SUL, BRASILIA",,apartamento,1600.0,58.0,2.0,,,aluguel,,
"SQS 116, ASA SUL, BRASILIA",,apartamento,14000.0,275.0,4.0,,2.0,aluguel,-15.8164055,-47.9080336
"SQS 302, ASA SUL, BRASILIA",,apartamento,6800.0,140.0,3.0,,1.0,aluguel,-15.8164055,-47.9080336
"QE 20 Conjunto N, GUARA I, GUARA",,kitnet,950.0,30.0,1.0,,,aluguel,-15.8418418,-47.974984
"Rua 37, SUL, AGUAS CLARAS",,apartamento,2800.0,56.0,2.0,,1.0,aluguel,-15.8348133,-48.0390942
"SGCV, PARK SUL, BRASILIA",,apartamento,4500.0,78.0,3.0,,2.0,aluguel,-15.8247211,-47.9537743
"Alameda das Acácias Quadra 107, NORTE, AGUAS CLARAS",,apartamento,3500.0,90.0,3.0,,2.0,aluguel,,
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,2800.0,40.0,2.0,,1.0,aluguel,-15.8311467,-48.0150679
"EQNO 9/11 Bloco A, CEILANDIA NORTE, CEILANDIA",,apartamento,800.0,30.0,1.0,,,aluguel,,
"QNB 11, TAGUATINGA NORTE, TAGUATINGA",,apartamento,1900.0,100.0,3.0,,,aluguel,-15.8238235,-48.0628459
"SQN 214 Bloco K, ASA NORTE, BRASILIA",,apartamento,4900.0,79.0,2.0,,1.0,aluguel,,
"Rua 18, SUL, AGUAS CLARAS",,apartamento,4500.0,62.0,2.0,,1.0,aluguel,-15.8383235,-48.0231139
"SQNW 307 Bloco C, NOROESTE, BRASILIA",,kitnet,3200.0,32.0,1.0,,1.0,aluguel,,
"SQN 214 Bloco K, ASA NORTE, BRASILIA",,apartamento,5200.0,79.0,2.0,,1.0,aluguel,,
"SQS 407, ASA SUL, BRASILIA",,apartamento,5500.0,78.0,3.0,,,aluguel,-15.8204784,-47.8969378
"QN 106, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,1000.0,43.0,2.0,,,aluguel,-15.8680685,-48.0841972
"QC 4, JARDINS MANGUEIRAL, BRASILIA",,apartamento,2100.0,49.0,2.0,,1.0,aluguel,-15.8917675,-47.8135852
"CCSW 2 Lote 3, SUDOESTE, BRASILIA",,apartamento,7500.0,115.0,2.0,,1.0,aluguel,-15.7978594,-47.9284452
"Quadra 203, SUL, AGUAS CLARAS",,apartamento,3100.0,130.0,3.0,,1.0,aluguel,-29.9198671,-51.0635217
"SQNW 306 Bloco J, NOROESTE, BRASILIA",,apartamento,14800.0,213.0,3.0,,4.0,aluguel,,
"CCSW 4, SUDOESTE, BRASILIA",,kitnet,1900.0,30.0,1.0,,1.0,aluguel,-15.7967824,-47.9295357
"Área Especial 4 Módulo K, GUARA II, GUARA",,apartamento,3300.0,68.0,2.0,,1.0,aluguel,,
"Rua MANACA, SUL, AGUAS CLARAS",,apartamento,2200.0,58.0,2.0,,1.0,aluguel,-15.8343289,-48.0086332
"QI 4 AREA CENTRAL, GUARA I, GUARA",,apartamento,1950.0,55.0,2.0,,,aluguel,,
"Rua DAS PITANGUEIRAS, NORTE, AGUAS CLARAS",,apartamento,2200.0,60.0,2.0,,1.0,aluguel,-15.8339602,-48.0176747
"SQS 403 Bloco B, ASA SUL, BRASILIA",,apartamento,3700.0,80.0,3.0,,,aluguel,,
"Quadra 4 Conjunto 7, VICENTE PIRES, VICENTE PIRES",,apartamento,2175.0,60.0,2.0,,,aluguel,,
"Avenida das Castanheiras, NORTE, AGUAS CLARAS",,apartamento,1100.0,33.0,1.0,,1.0,aluguel,-15.8354239,-48.0078434
"QR 122 Conjunto F, SANTA MARIA, SANTA MARIA",,kitnet,700.0,40.0,1.0,,,aluguel,-15.9982419,-47.9908025
"QN 406 Conjunto F, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,700.0,48.0,1.0,,,aluguel,-15.861996,-48.0819656
"AOS 04/5, OCTOGONAL, BRASILIA",,apartamento,1500.0,37.0,1.0,,,aluguel,,
"ADE Conjunto 18, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,700.0,130.0,1.0,,,aluguel,,
"QMSW 5 Lote 8, SUDOESTE, BRASILIA",,kitnet,1600.0,29.0,1.0,,1.0,aluguel,-15.7940053,-47.9197148
"AVENIDA ARAUCARIAS, SUL, AGUAS CLARAS",,apartamento,3500.0,62.0,2.0,,1.0,aluguel,-15.8400497,-48.0206766
"SGCV Lote 19, PARK SUL, BRASILIA",,apartamento,14900.0,157.0,3.0,,3.0,aluguel,-15.8247211,-47.9537743
"SQNW 106, NOROESTE, BRASILIA",,apartamento,5599.0,76.0,2.0,,,aluguel,-15.7447012,-47.910477
"SQSW 305 Bloco F, SUDOESTE, BRASILIA",,apartamento,8000.0,94.0,3.0,,1.0,aluguel,,
"QS 410 Conjunto G, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,1300.0,40.0,2.0,,,aluguel,-15.8818507,-48.0908091
"AOS 02 Bloco F, OCTOGONAL, BRASILIA",,apartamento,6500.0,162.0,4.0,,1.0,aluguel,,
"SHTN, ASA NORTE, BRASILIA",,apartamento,3800.0,37.0,1.0,,1.0,aluguel,-15.7888828,-47.8318449
"EQNO 9/11 Bloco A, CEILANDIA NORTE, CEILANDIA",,apartamento,800.0,30.0,1.0,,,aluguel,,
"SQNW 310 Bloco C, NOROESTE, BRASILIA",,apartamento,2600.0,33.0,1.0,,1.0,aluguel,,
"Rua 18, NORTE, AGUAS CLARAS",,apartamento,1900.0,58.0,1.0,,1.0,aluguel,-15.8383235,-48.0231139
"Rua 21, SUL, AGUAS CLARAS",,apartamento,2700.0,77.0,3.0,,1.0,aluguel,-15.8390863,-48.0259111
"SQS 210 Bloco E, ASA SUL, BRASILIA",,apartamento,7000.0,130.0,4.0,,,aluguel,,
"Avenida das Araucárias, SUL, AGUAS CLARAS",,apartamento,6300.0,128.0,4.0,,2.0,aluguel,-15.8400497,-48.0206766
"SQSW 304 Bloco J, SUDOESTE, BRASILIA",,apartamento,5500.0,82.0,3.0,,,aluguel,,
"QS 303 Conjunto 7, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,1100.0,55.0,2.0,,2.0,aluguel,-15.882049,-48.0913379
"Quadra 502 Conjunto 1, ITAPOA PARQUE, PARANOA",,apartamento,1000.0,46.0,2.0,,,aluguel,,
"SQS 304 Bloco G, ASA SUL, BRASILIA",,apartamento,3800.0,130.0,3.0,,,aluguel,,
"SGCV, PARK SUL, BRASILIA",,apartamento,25000.0,347.0,4.0,,4.0,aluguel,-15.8247211,-47.9537743
"Alameda Gravatá Quadra 301 Conjunto 16, NORTE, AGUAS CLARAS",,apartamento,3500.0,150.0,4.0,,1.0,aluguel,,
"AOS 04/5, OCTOGONAL, BRASILIA",,apartamento,1600.0,42.0,1.0,,,aluguel,,
"QNM 18 Conjunto A, CEILANDIA NORTE, CEILANDIA",,apartamento,1200.0,55.0,2.0,,,aluguel,-15.8145908,-48.1025213
"SHTN Trecho 1, ASA NORTE, BRASILIA",,apartamento,6941.0,53.0,1.0,,1.0,aluguel,-15.7888828,-47.8318449
"Rua 37, NORTE, AGUAS CLARAS",,apartamento,2350.0,29.0,1.0,,,aluguel,-15.8348133,-48.0390942
"STN, ASA NORTE, BRASILIA",,kitnet,1300.0,28.0,1.0,,,aluguel,-15.7387705,-47.9138166
"CCSW 1, SUDOESTE, BRASILIA",,apartamento,5100.0,26.0,1.0,,1.0,aluguel,-15.7968509,-47.9274085
"QN 32 Conjunto 10, RIACHO FUNDO II, RIACHO FUNDO",,apartamento,1350.0,60.0,2.0,,1.0,aluguel,-15.9011191,-48.0365859
"Quadra 501 Conjunto 1, ITAPOA PARQUE, PARANOA",,apartamento,1250.0,60.0,2.0,,1.0,aluguel,,
"QS 408, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,1750.0,55.0,2.0,,1.0,aluguel,-15.8626197,-48.0889907
"Rua 11, GUARA II, GUARA",,apartamento,1350.0,40.0,1.0,,1.0,aluguel,-15.8472948,-47.9781178
"SOF SUL Quadra 15 Conjunto A, SOF SUL, SETOR INDUSTRIAL",,apartamento,4000.0,64.0,2.0,,1.0,aluguel,,
"QR 418 Conjunto O, SANTA MARIA, SANTA MARIA",,apartamento,900.0,50.0,2.0,,,aluguel,,
"QS 122 Conjunto 4, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,1200.0,50.0,2.0,,,aluguel,,
"QMSW 4, SUDOESTE, BRASILIA",,kitnet,2600.0,30.0,1.0,,1.0,aluguel,-15.7919381,-47.9202154
"EPTG QE 4 Bloco B 13, QUADRAS ECONOMICAS LUCIO COSTA, GUARA",,apartamento,1850.0,57.0,2.0,,1.0,aluguel,,
"CLNW 10/11 Lote F, NOROESTE, BRASILIA",,apartamento,2306.0,35.0,1.0,,1.0,aluguel,,
"Condomínio Solar de Brasília, JARDIM BOTANICO, BRASILIA",,apartamento,2690.0,75.0,2.0,,,aluguel,-15.8441389,-47.8086549
"Quadra 301 Rua D Conjunto 3, NORTE, AGUAS CLARAS",,apartamento,2200.0,53.0,2.0,,1.0,aluguel,-15.8307859,-48.0171136
"SEPS 713/913, ASA SUL, BRASILIA",,apartamento,3700.0,35.0,1.0,,1.0,aluguel,-15.8199601,-47.9212181
"SETOR HOTELEIRO, TAGUATINGA CENTRO, TAGUATINGA",,apartamento,3100.0,33.0,1.0,,1.0,aluguel,-15.8342296,-48.0521467
"QN 312 Conjunto 7, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,1200.0,42.0,1.0,,,aluguel,,
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,apartamento,8500.0,149.0,2.0,,1.0,aluguel,,
"QNM 29 Área Especial J, CEILANDIA SUL, CEILANDIA",,apartamento,1500.0,45.0,2.0,,1.0,aluguel,-15.8249724,-48.0927068
"SGCV Lote 10, PARK SUL, BRASILIA",,kitnet,2800.0,30.0,1.0,,1.0,aluguel,-15.8247211,-47.9537743
"SGCV Lote 13, PARK SUL, BRASILIA",,apartamento,3200.0,28.0,1.0,,1.0,aluguel,-15.8247211,-47.9537743
"Rua 19, SUL, AGUAS CLARAS",,apartamento,3500.0,75.0,2.0,,1.0,aluguel,-15.8418989,-48.0242537
"Quadra 401, ITAPOA PARQUE, PARANOA",,apartamento,900.0,64.0,2.0,,1.0,aluguel,-15.7638617,-47.7905676
